shot_number,start_time_seconds,end_time_seconds,start_frame,end_frame,duration_seconds,metadata_ShotDescription,metadata_GenreCues,metadata_SubgenreCues,metadata_AdjectiveTheme,metadata_Mood,metadata_SettingContext,metadata_ContentDescriptors,metadata_LocationHints_Regional,metadata_LocationHints_International,metadata_SearchKeywords
30,74.8552427621381,75.27226361318066,1795,1805,0.41702085104255104,A series of images showing a woman with different hairstyles and accessories.,"[{""genre_hint"": ""Fashion"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""Fashion"", ""prominence_in_shot"": ""100%""}]","""Fashion""","""Happy""","""Fashion""","""Fashion""","""Africa""","""World""","""Fashion, hairstyles, accessories"""
31,75.27226361318066,75.93949697484874,1805,1821,0.6672333616680817,A series of animated images depicting a woman with different hairstyles and outfits.,"[{""genre_hint"": ""Fashion"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""Fashion"", ""prominence_in_shot"": ""100%""}]","""Fashion""","""Excited""","""Fashion""","""Fashion""","""Fashion""","""Fashion""","""Fashion"""
32,75.93949697484874,77.73268663433171,1821,1864,1.7931896594829766,"A young girl with curly hair is sitting in a bathtub, looking at a tablet with colorful stickers on it.","[{""genre_hint"": ""Children's entertainment"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Educational"", ""prominence_in_shot"": ""1""}]","""Educational""","""Excited""","""Home""","""Childhood""","""Home""","""Home""","""education, learning, tablet, child"""
33,77.73268663433171,79.48417420871043,1864,1906,1.7514875743787144,A cartoon depiction of a woman with curly hair wearing a green top and large hoop earrings.,"[{""genre_hint"": ""comedy"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""drama"", ""prominence_in_shot"": ""high""}]","""happy""","""positive""","""interior""","""hair styling""","""unknown""","""unknown""","""hair styling"""
34,79.48417420871043,84.8220411020551,1906,2034,5.337866893344668,"A young girl with a large afro hairstyle is sitting at a desk with a laptop, wearing a pink shirt and a pink bow in her hair. She is looking at the laptop screen with a focused expression.","[{""genre_hint"": ""Adventure"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Fantasy"", ""prominence_in_shot"": 0.2}]","""Adventure""","""Excited""","""Home""","""Home""","""Home""","""Home""","""Home"""
35,84.8220411020551,86.57352867643382,2034,2076,1.7514875743787286,"A close-up of a woman with curly hair wearing a green top and large yellow hoop earrings, smiling and looking at the camera.","[{""genre_hint"": ""comedy"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""romance"", ""prominence_in_shot"": ""high""}]","""happy""","""positive""","""home""","""family""","""home""","""home""","""family, home"""
36,86.57352867643382,88.11650582529126,2076,2113,1.5429771488574318,"A person is tying a knot in a long, dark hair strand.","[{""genre_hint"": ""hair styling"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""hair care"", ""prominence_in_shot"": ""1""}]","""hair""","""relaxing""","""home""","""hair styling""","""home""","""home""","""hair styling"""
37,88.11650582529126,92.99564978248912,2113,2230,4.8791439571978685,A young girl with curly hair and a pink bow in her hair is standing in a room with a large window in the background. She is wearing a white shirt and is smiling at the camera.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","""happy""","""positive""","""home""","""family""","""home""","""home""","""family, home, happy, positive"""
38,92.99564978248912,94.33011650582529,2230,2262,1.3344667233361633,A young girl with curly black hair is sitting in a room with a laptop in front of her. She is smiling and looking at the laptop screen.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""Educational"", ""prominence_in_shot"": ""100%""}]","""happy""","""positive""","""home""","""child""","""home""","""home""","""child, education, home"""
39,94.33011650582529,95.70628531426571,2262,2295,1.3761688084404256,A collection of images showcasing various hairstyles and hair care products.,"[{""genre_hint"": ""Hair care"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""Hair styling"", ""prominence_in_shot"": ""100%""}]","""Hair care""","""Relaxed""","""Home""","""Hair care products""","""Home""","""Home""","""Hair care products"""
40,95.70628531426571,100.21011050552528,2295,2403,4.5038251912595655,A young girl with curly hair is brushing her hair in a bathroom.,"[{""genre_hint"": ""Adventure"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": 0.5}]","""happy""","""positive""","""bathroom""","""hair care""","""bathroom""","""bathroom""","""hairbrush, girl, bathroom"""
41,100.21011050552528,105.08925446272313,2403,2520,4.879143957197854,"A young girl with curly hair is sitting at a table in a bathroom, looking at her laptop.","[{""genre_hint"": ""Adventure"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Fantasy"", ""prominence_in_shot"": 0.3}]","""Adventure Fantasy""","""Excited""","""Home""","""Personal""","""Home""","""Home""","""Personal home"""
42,105.08925446272313,107.29946497324866,2520,2573,2.2102105105255276,A young girl with long black hair and a pink bow in her hair is standing in a bathroom. She is wearing a pink shirt and is holding a black laptop. The bathroom has a white tiled wall and a wooden door. The girl is looking at the laptop screen.,"[{""genre_hint"": ""comedy"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""romance"", ""prominence_in_shot"": ""high""}]","""funny""","""amused""","""bathroom""","""girl, laptop, bathroom""","""bathroom""","""bathroom""","""girl, laptop, bathroom"""
43,107.29946497324866,110.92754637731886,2573,2660,3.628081404070201,A man with dreadlocks wearing a white tank top and a black watch on his left wrist is standing in a doorway. The background is a blurred indoor setting with a wooden door and a window with curtains. The man appears to be in a state of contemplation or surprise.,"[{""genre_hint"": ""drama"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""comedy"", ""prominence_in_shot"": ""0""}]","""emotional""","""sad""","""indoor""","""person""","""none""","""none""","""dreadlocks, white tank top, black watch"""
44,110.92754637731886,113.80499024951247,2660,2729,2.8774438721936093,A young girl with curly hair and a pink bow in her hair is standing in front of a mirror in a bathroom.,"[{""genre_hint"": ""Adventure"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Fantasy"", ""prominence_in_shot"": 0.2}]","""Adventure Fantasy""","""Excited""","""Bathroom""","""Young girl, mirror, bathroom, hair, bow, excitement""","""Bathroom""","""Bathroom""","""Adventure Fantasy Young girl Mirror Bathroom Hair Bow Excitement"""
45,113.80499024951247,115.30626531326565,2729,2765,1.5012750637531838,A man with dreadlocks is holding a young girl in a bathroom.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Adventure"", ""prominence_in_shot"": ""1""}]","""Adventure""","""Excitement""","""Family""","""Adventure""","""Family""","""Adventure""","""Adventure, Family, Adventure, Family"""
46,115.30626531326565,117.80839041952098,2765,2825,2.5021251062553205,"A hallway with a bright light shining through the window, creating a warm and inviting atmosphere.","[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": ""100%""}]","""warm""","""happy""","""home""","""family""","""home""","""home""","""family, home, warm, happy"""
47,117.80839041952098,118.72583629181459,2825,2847,0.9174458722936123,A young girl with curly hair and a pink dress is jumping on a bed in a bedroom.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""Adventure"", ""prominence_in_shot"": ""50%""}]","""happy""","""excited""","""home""","""family""","""home""","""home""","""family, adventure, happy, home"""
48,118.72583629181459,120.43562178108905,2847,2888,1.7097854892744664,A young girl with curly black hair is standing in a room with a white dresser and a mirror in the background.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""Adventure"", ""prominence_in_shot"": 1}]","""Family""","""Excited""","""Home""","""Family""","""Home""","""Home""","""Family, Adventure, Excited, Home"""
49,120.43562178108905,121.10285514275714,2888,2904,0.6672333616680817,A chaotic scene with various objects scattered across a table.,"[{""genre_hint"": ""Fashion"", ""prominence_in_shot"": ""High""}]","[{""subgenre_hint"": ""Fashion"", ""prominence_in_shot"": ""High""}]","""colorful""","""excited""","""a cluttered workspace""","""a variety of items including brushes, scissors, and other crafting tools""","""urban""","""global""","""crafting, art, creativity"""
50,121.10285514275714,121.72838641932097,2904,2919,0.6255312765638337,A cluttered table with various items on it.,"[{""genre_hint"": ""cosmetics"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""makeup"", ""prominence_in_shot"": ""high""}]","""colorful""","""busy""","""home""","""personal""","""home""","""home""","""cosmetics, makeup, personal, home"""
51,121.72838641932097,122.77093854692734,2919,2944,1.0425521276063705,A chaotic scene with various objects in a room.,"[{""genre_hint"": ""Action"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Fantasy"", ""prominence_in_shot"": 0.3}]","""colorful""","""exciting""","""a room""","""a variety of objects""","""specific region""","""specific international location""","""colorful objects"""
52,122.77093854692734,124.06370318515926,2944,2975,1.2927646382319153,"A colorful and cluttered room with various objects scattered around, including a green hairbrush, a purple pot, and a yellow container.","[{""genre_hint"": ""Play"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Play"", ""prominence_in_shot"": 0.5}]","""colorful""","""playful""","""home""","""home""","""home""","""home""","""home"""
53,124.06370318515926,125.85689284464223,2975,3018,1.7931896594829766,A man with long dreadlocks and a white tank top is standing in a bedroom with a child with curly black hair. The man is holding a red hat with white polka dots.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Adventure"", ""prominence_in_shot"": ""1""}]","""Adventure""","""Exciting""","""Home""","""Family""","""Home""","""Home""","""Family, Adventure, Home"""
54,125.85689284464223,128.60923046152308,3018,3084,2.752337616880851,A young man with dreadlocks is standing in a bedroom.,"[{""genre_hint"": ""comedy"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""drama"", ""prominence_in_shot"": 0.2}]","""relaxing""","""relaxing""","""home""","""relaxing""","""home""","""home""","""relaxing"""
55,128.60923046152308,130.15220761038051,3084,3121,1.5429771488574318,A young girl with curly hair is holding a green hairdryer.,"[{""genre_hint"": ""hair care"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""hair styling"", ""prominence_in_shot"": ""1""}]","""hair""","""serious""","""hair salon""","""hair care""","""hair salon""","""hair salon""","""hair care"""
56,130.15220761038051,130.69433471673582,3121,3134,0.5421271063553093,A young girl with curly hair is using a green hairdryer.,"[{""genre_hint"": ""Adventure"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Fantasy"", ""prominence_in_shot"": ""1""}]","""Fantasy""","""Excitement""","""Home""","""Hair care""","""Home""","""Home""","""Hair care"""
57,130.69433471673582,131.98709935496774,3134,3165,1.2927646382319153,A young girl with voluminous black hair is sitting at a table in a brightly lit room.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": ""100%""}]","""family""","""happy""","""home""","""family""","""home""","""home""","""family, home, happy"""
58,131.98709935496774,137.11645582279112,3165,3288,5.129356467823385,A person with long black hair is being combed by a purple comb.,"[{""genre_hint"": ""comedy"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""hair care"", ""prominence_in_shot"": ""high""}]","""hair""","""relaxing""","""bathroom""","""personal grooming""","""bathroom""","""bathroom""","""hair care"""
59,137.11645582279112,138.45092254612732,3288,3320,1.3344667233361918,A person with dark hair is combing their hair with a purple comb.,"[{""genre_hint"": ""hair styling"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""combing hair"", ""prominence_in_shot"": ""high""}]","""hair styling""","""relaxing""","""personal space""","""hair care routine""","""personal space""","""personal space""","""hair styling"""
60,138.45092254612732,140.035601780089,3320,3358,1.5846792339616798,"A close-up of a person's face with a concerned expression, possibly a child or a young adult.","[{""genre_hint"": ""Adventure"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Adventure"", ""prominence_in_shot"": 0.5}]","""Adventure""","""Excitement""","""Adventure""","""Adventure""","""Adventure""","""Adventure""","""Adventure"""
61,140.035601780089,141.24496224811242,3358,3387,1.2093604680234193,A man with dreadlocks is brushing his hair with a purple comb in a room with a colorful stained glass window and a door.,"[{""genre_hint"": ""comedy"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""comedy"", ""prominence_in_shot"": ""high""}]","""funny""","""amused""","""interior""","""hair care""","""none""","""none""","""comic book"""
62,141.24496224811242,145.45687284364217,3387,3488,4.211910595529758,"A young boy with curly hair and a purple comb in his hand, standing in front of a large, colorful stained glass window.","[{""genre_hint"": ""Adventure"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Action"", ""prominence_in_shot"": 0.2}]","""colorful""","""excited""","""interior""","""hair styling""","""urban""","""cultural""","""hair styling, urban, cultural"""
63,145.45687284364217,146.99984999249963,3488,3525,1.5429771488574602,A young boy with braided hair is combing his hair with a purple comb in a room with a colorful mural on the wall.,"[{""genre_hint"": ""comedy"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""comedy"", ""prominence_in_shot"": 0.5}]","""humorous""","""amused""","""interior""","""comedy""","""no""","""no""","""comedy, humor, boy, hair, comb"""
64,146.99984999249963,148.29261463073152,3525,3556,1.292764638231887,A close-up of a person's face with a serious expression.,"[{""genre_hint"": ""Fantasy"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Action"", ""prominence_in_shot"": 0.2}]","""dark""","""angry""","""dark""","""frustrated""","""urban""","""urban""","""frustrated"""
65,148.29261463073152,152.37941897094854,3556,3654,4.086804340217014,A man with dreadlocks is combing his hair with a purple comb in a room with a stained glass window and a clock on the ceiling.,"[{""genre_hint"": ""comedy"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""comedy"", ""prominence_in_shot"": 1}]","""comedy""","""amused""","""a room with a stained glass window and a clock on the ceiling""","""a man with dreadlocks combing his hair with a purple comb""","""a room with a stained glass window and a clock on the ceiling""","""a room with a stained glass window and a clock on the ceiling""","""comedy, hair, comb, room"""
66,152.37941897094854,154.71473573678685,3654,3710,2.3353167658383143,A man with dreadlocks is combing his hair in a room with a colorful mural on the wall. He is wearing a gray tank top and holding a purple comb.,"[{""genre_hint"": ""comedy"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""comedy"", ""prominence_in_shot"": ""high""}]","""humorous""","""amused""","""interior""","""comedy""","""unknown""","""unknown""","""comedy, humor, comedy, humor"""
67,154.71473573678685,155.17345867293363,3710,3721,0.45872293614678483,A man in a boxing ring with a purple object in his hand.,"[{""genre_hint"": ""boxing"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""boxing"", ""prominence_in_shot"": 0.5}]","""boxing""","""excited""","""boxing ring""","""boxing match""","""boxing ring""","""boxing ring""","""boxing match"""
68,155.17345867293363,157.5504775238762,3721,3778,2.3770188509425623,"A dark, ominous figure looms in the background, its form obscured by shadows and a faint glow.","[{""genre_hint"": ""Mystery"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Fantasy"", ""prominence_in_shot"": ""1""}]","""Dark""","""Mysterious""","""Fantasy""","""Mysterious""","""None""","""None""","""Mysterious"""
