shot_number,start_time_seconds,end_time_seconds,start_frame,end_frame,duration_seconds,metadata_ShotDescription,metadata_GenreCues,metadata_SubgenreCues,metadata_AdjectiveTheme,metadata_Mood,metadata_SettingContext,metadata_ContentDescriptors,metadata_LocationHints_Regional,metadata_LocationHints_International,metadata_SearchKeywords
14,55.9,59.766666666666666,1677,1793,3.866666666666667,A woman with short black hair standing in a room looking at a framed picture on the wall.,"[{""genre_hint"": ""drama"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""romance"", ""prominence_in_shot"": 1}]","""emotional""","""introspective""","""personal""","""reflection""","""personal""","""personal""","""reflection"""
15,59.766666666666666,60.733333333333334,1793,1822,0.9666666666666686,,"[{""genre_hint"": ""drama"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""thriller"", ""prominence_in_shot"": 0.3}]","[{""adjective_hint"": ""intense"", ""prominence_in_shot"": 0.2}]","[{""mood_hint"": ""suspenseful"", ""prominence_in_shot"": 0.1}]","[{""setting_hint"": ""dark"", ""prominence_in_shot"": 0.4}]","[{""content_hint"": ""mysterious"", ""prominence_in_shot"": 0.3}]","[{""location_hint"": ""urban"", ""prominence_in_shot"": 0.2}]","[{""location_hint"": ""worldwide"", ""prominence_in_shot"": 0.1}]","[{""keyword"": ""mystery"", ""prominence_in_shot"": 0.5}]"
16,60.733333333333334,63.833333333333336,1822,1915,3.1000000000000014,A young girl in a black dress standing in a bedroom doorway.,"[{""genre_hint"": ""Adventure"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": 0.5}]","""Whimsical""","""Serene""","""Home""","""Childhood""","""Home""","""Home""","""Childhood, Home, Whimsical"""
17,63.833333333333336,67.2,1915,2016,3.366666666666667,A young girl is playing with a toy elephant in a cozy bedroom.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""Childhood"", ""prominence_in_shot"": 1}]","""warm""","""happy""","""home""","""childhood""","""home""","""home""","""childhood, home, family"""
18,67.2,73.03333333333333,2016,2191,5.833333333333329,A young girl is lying in bed with a stuffed rabbit and a book. She is wearing a green shirt and blue jeans. The room is dimly lit with a lamp on the nightstand and a window with blinds. The girl is looking at the stuffed rabbit.,"[{""genre_hint"": ""Adventure"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Fantasy"", ""prominence_in_shot"": 0.2}]","""Soft""","""Peaceful""","""Home""","""Childhood""","""Home""","""Home""","""Childhood, home, bedtime"""
19,73.03333333333333,74.23333333333333,2191,2227,1.2000000000000028,,"[{""genre_hint"": ""drama"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""thriller"", ""prominence_in_shot"": 0.3}]","[{""adjective_hint"": ""intense"", ""prominence_in_shot"": 0.2}]","[{""mood_hint"": ""suspenseful"", ""prominence_in_shot"": 0.1}]","[{""setting_hint"": ""dark"", ""prominence_in_shot"": 0.4}]","[{""content_hint"": ""mysterious"", ""prominence_in_shot"": 0.3}]","[{""location_hint"": ""urban"", ""prominence_in_shot"": 0.2}]","[{""location_hint"": ""worldwide"", ""prominence_in_shot"": 0.1}]","[{""keyword"": ""mystery"", ""prominence_in_shot"": 0.5}]"
20,74.23333333333333,79.2,2227,2376,4.966666666666669,"A woman in a black outfit is standing in a dimly lit room, looking at a picture on the wall.","[{""genre_hint"": ""Romance"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Romantic"", ""prominence_in_shot"": 0.5}]","""Romantic""","""Sad""","""Home""","""Personal""","""Home""","""Home""","""Home"""
21,79.2,82.53333333333333,2376,2476,3.3333333333333286,A woman sitting on a bed in a dimly lit room.,"[{""genre_hint"": ""Romance"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Internal monologue"", ""prominence_in_shot"": 0.5}]","""melancholy""","""sad""","""personal space""","""emotional state""","""personal space""","""personal space""","""personal space"""
22,82.53333333333333,85.23333333333333,2476,2557,2.700000000000003,"A woman in a dimly lit room, holding a small, closed box, looking at it with a serious expression.","[{""genre_hint"": ""Romance"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Mystery"", ""prominence_in_shot"": 0.2}]","""Mystery""","""Suspenseful""","""Private""","""Private""","""Private""","""Private""","""Private"""
23,85.23333333333333,88.16666666666667,2557,2645,2.933333333333337,"A woman in a dimly lit room, holding a small, closed box, looking at it with a serious expression.","[{""genre_hint"": ""Adventure"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Mystery"", ""prominence_in_shot"": 0.2}]","""Mysterious""","""Serious""","""Home""","""Private""","""Home""","""Private""","""Mystery"""
24,88.16666666666667,95.5,2645,2865,7.333333333333329,"A young woman sits on a bed in a dimly lit room, opening a small wooden box.","[{""genre_hint"": ""Romance"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": 0.2}]","""introspective""","""sad""","""personal""","""emotional""","""home""","""personal""","""family, love, loss"""
25,95.5,100.13333333333334,2865,3004,4.63333333333334,A person is reading a heartfelt letter in a dimly lit room.,"[{""genre_hint"": ""Romance"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Emotional"", ""prominence_in_shot"": 0.5}]","""Sensitive""","""Emotional""","""Private""","""Personal""","""Home""","""Private""","""love letter"""
26,100.13333333333334,106.7,3004,3201,6.566666666666663,"A woman in a black outfit is sitting on a bed in a dimly lit room, reading a letter from a man in a green shirt. The letter is inside a wooden box with the text ""For Lila"" on it. The woman appears to be deeply emotional as she reads the letter.","[{""genre_hint"": ""Romance"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""Romantic Comedy"", ""prominence_in_shot"": 1}]","""Romantic""","""Emotional""","""Private""","""Personal""","""Private""","""Private""","""Letter, Reading, Emotion, Love"""
27,106.7,108.6,3201,3258,1.8999999999999915,"A woman is sitting on a bed in a dimly lit room, reading a letter from a box.","[{""genre_hint"": ""Romance"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Romantic"", ""prominence_in_shot"": 0.5}]","""Romantic""","""Somber""","""Private""","""Personal""","""Private""","""Private""","""Private"""
28,108.6,110.2,3258,3306,1.6000000000000085,A man in a hospital bed holding a newborn baby.,"[{""genre_hint"": ""birth"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""newborn"", ""prominence_in_shot"": 1}]","""joyful""","""joyful""","""hospital""","""birth""","""hospital""","""hospital""","""birth"""
29,110.2,115.2,3306,3456,5.0,A man in a hospital bed holding a newborn baby.,"[{""genre_hint"": ""birth"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""newborn"", ""prominence_in_shot"": 1}]","""joyful""","""emotional""","""hospital""","""birth""","""hospital""","""hospital""","""birth"""
30,115.2,117.03333333333333,3456,3511,1.8333333333333286,A man and a baby in a living room.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""Childhood"", ""prominence_in_shot"": 1}]","""warm""","""happy""","""home""","""family""","""home""","""home""","""family, home, warmth, happiness"""
31,117.03333333333333,120.8,3511,3624,3.7666666666666657,"A man kneeling on the floor in a living room, interacting with a baby.","[{""genre_hint"": ""Family"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""Childhood"", ""prominence_in_shot"": 1}]","""warm""","""joyful""","""home""","""family interaction""","""home""","""home""","""family, interaction, home"""
32,120.8,121.86666666666666,3624,3656,1.0666666666666629,A man in a green shirt and white pants is holding a baby in a living room at night. The baby is wearing a white onesie and is reaching out to the man.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""Parent-child interaction"", ""prominence_in_shot"": ""100%""}]","""warm""","""happy""","""home""","""family""","""home""","""home""","""family, home, interaction"""
33,121.86666666666666,122.83333333333333,3656,3685,0.9666666666666686,"A young woman is sitting in a dimly lit bedroom, reading a letter from her father. She is wearing a black dress and is sitting on a bed with a wooden headboard. The room is decorated with a lamp on the nightstand and a wooden box with the word ""for"" on it. The mood is somber and reflective, and the setting is a personal and intimate space.","[{""genre_hint"": ""drama"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""romance"", ""prominence_in_shot"": ""high""}]","""personal""","""sad""","""intimate""","""family""","""specific""","""specific""","""father, daughter, letter"""
34,122.83333333333333,126.1,3685,3783,3.2666666666666657,"A young girl with a backpack is walking down a sidewalk at night, approaching a school entrance.","[{""genre_hint"": ""School"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""School"", ""prominence_in_shot"": 0.5}]","""school""","""sad""","""night""","""school""","""school""","""school""","""school"""
35,126.1,128.13333333333333,3783,3844,2.0333333333333314,"A man standing behind a tree on a sidewalk, looking at a girl walking away.","[{""genre_hint"": ""Romance"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Friendship"", ""prominence_in_shot"": 0.5}]","""happy""","""relaxed""","""outdoor""","""school""","""city""","""urban""","""school"""
36,128.13333333333333,131.16666666666666,3844,3935,3.0333333333333314,A young girl with brown hair and a red backpack is walking on a sidewalk in a park. She is wearing a black dress and is carrying a red backpack.,"[{""genre_hint"": ""Adventure"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""School"", ""prominence_in_shot"": 0.5}]","""school""","""happy""","""park""","""school""","""school""","""school""","""school"""
37,131.16666666666666,131.7,3935,3951,0.5333333333333314,,"[{""genre_hint"": ""drama"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""thriller"", ""prominence_in_shot"": 0.3}]","[{""adjective_hint"": ""intense"", ""prominence_in_shot"": 0.2}]","[{""mood_hint"": ""suspenseful"", ""prominence_in_shot"": 0.1}]","[{""setting_hint"": ""dark"", ""prominence_in_shot"": 0.4}]","[{""content_hint"": ""mysterious"", ""prominence_in_shot"": 0.3}]","[{""location_hint"": ""urban"", ""prominence_in_shot"": 0.2}]","[{""location_hint"": ""worldwide"", ""prominence_in_shot"": 0.1}]","[{""keyword"": ""mystery"", ""prominence_in_shot"": 0.5}]"
38,131.7,135.3,3951,4059,3.6000000000000227,"A young child wearing a helmet and a red shirt is lying on the ground next to a bicycle, appearing to have fallen. An adult kneels beside the child, attending to their injury.","[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Sports"", ""prominence_in_shot"": ""1""}]","""sports""","""concerned""","""outdoor""","""child, bicycle, injury, adult""","""park""","""park""","""child, bicycle, injury, adult"""
39,135.3,136.23333333333332,4059,4087,0.9333333333333087,A man in a beige shirt is sewing a blue shirt at a wooden table with a lamp and scissors on it.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Craftsmanship"", ""prominence_in_shot"": ""1""}]","""Craftsmanship""","""Focused""","""Home""","""Crafting""","""Home""","""Home""","""Crafting"""
40,136.23333333333332,136.9,4087,4107,0.6666666666666856,"A man is sitting at a table in a dimly lit room, working on a sewing project. He is focused on his work, with a sewing machine and other sewing materials in front of him.","[{""genre_hint"": ""Action"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Craftsmanship"", ""prominence_in_shot"": 0.5}]","""Craftsmanship""","""Focused""","""Home""","""Sewing""","""Home""","""Home""","""Sewing"""
41,136.9,141.3,4107,4239,4.400000000000006,"A man kneeling beside a child in a dimly lit room, holding a bottle of medicine and a cup of tea.","[{""genre_hint"": ""Family"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""Health"", ""prominence_in_shot"": 1}]","[{""adjective"": ""tender""}]","[{""mood"": ""sympathetic""}]","[{""context"": ""home""}]","[{""descriptor"": ""caring""}]","[{""hint"": ""home""}]","[{""hint"": ""home""}]","[{""keyword"": ""medicine""}]"
42,141.3,146.66666666666666,4239,4400,5.366666666666646,"A man kneeling in a dimly lit hallway, holding a cup, looking down at it with a concerned expression.","[{""genre_hint"": ""drama"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""romance"", ""prominence_in_shot"": 1}]","""melancholy""","""sad""","""home""","""personal""","""home""","""home""","""home"""
43,146.66666666666666,150.46666666666667,4400,4514,3.8000000000000114,"A man in a room with a candle on the door, looking at a cupcake.","[{""genre_hint"": ""Cake"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Cake"", ""prominence_in_shot"": ""1""}]","""Cake""","""Happy""","""Home""","""Cake""","""Home""","""Home""","""Cake"""
44,150.46666666666667,152.23333333333332,4514,4567,1.7666666666666515,"A man is holding a lit candle in his hand, standing in a dimly lit room with a lamp in the background.","[{""genre_hint"": ""Romance"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Romantic"", ""prominence_in_shot"": ""1""}]","""Romantic""","""Romantic""","""Romantic""","""Candlelight, romance, intimacy""","""Romantic""","""Romantic""","""Candlelight, romance, intimacy"""
45,152.23333333333332,153.3,4567,4599,1.0666666666666913,"A woman in a dimly lit room, holding a piece of paper, looking at it with a serious expression.","[{""genre_hint"": ""Romance"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Romantic"", ""prominence_in_shot"": 0.5}]","""romantic""","""sad""","""home""","""woman reading letter""","""home""","""home""","""romantic letter"""
46,153.3,157.06666666666666,4599,4712,3.7666666666666515,"A graduation ceremony with a young girl in a blue gown and cap holding a diploma, standing in front of an audience in a park at dusk.","[{""genre_hint"": ""drama"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""coming-of-age"", ""prominence_in_shot"": 1}]","""emotional""","""joyful""","""formal""","""academic achievement""","""specific location""","""specific location""","""graduation ceremony"""
47,157.06666666666666,161.76666666666668,4712,4853,4.700000000000017,"A graduation ceremony taking place outdoors at dusk, with a large group of graduates wearing caps and gowns, seated in rows facing a speaker who is standing and gesturing with her hands.","[{""genre_hint"": ""drama"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""ceremony"", ""prominence_in_shot"": ""high""}]","""formal""","""serious""","""academic""","""graduation ceremony""","""specific location""","""specific location""","""graduation ceremony"""
48,161.76666666666668,165.63333333333333,4853,4969,3.866666666666646,"A woman in a black shirt is standing in a kitchen, pointing at a man sitting at a table. The man is holding a cup and looking at her.","[{""genre_hint"": ""drama"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""romance"", ""prominence_in_shot"": 1}]","""romantic""","""serious""","""home""","""intimate conversation""","""home""","""home""","""romantic conversation"""
49,165.63333333333333,168.96666666666667,4969,5069,3.333333333333343,A man is writing in a notebook with a pen.,"[{""genre_hint"": ""Romance"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Emotional"", ""prominence_in_shot"": 0.5}]","""Emotional""","""Sad""","""Home""","""Writing""","""Home""","""Home""","""Writing"""
50,168.96666666666667,170.9,5069,5127,1.9333333333333371,A woman is reading a letter in a dimly lit room.,"[{""genre_hint"": ""Romance"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Emotional"", ""prominence_in_shot"": 0.5}]","""Emotional""","""Sad""","""Home""","""Letter""","""Home""","""Home""","""Letter"""
51,170.9,172.8,5127,5184,1.9000000000000057,A man is writing a letter in a dimly lit room.,"[{""genre_hint"": ""Romance"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Emotional"", ""prominence_in_shot"": 0.5}]","""Sorrowful""","""Sad""","""Home""","""Letter writing""","""Home""","""Home""","""Letter writing"""
52,172.8,174.73333333333332,5184,5242,1.9333333333333087,A woman is reading a letter in a dimly lit room.,"[{""genre_hint"": ""drama"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""romance"", ""prominence_in_shot"": 1}]","""emotional""","""sad""","""intimate""","""personal""","""home""","""private""","""family"""
53,174.73333333333332,176.73333333333332,5242,5302,2.0,A man is writing on a piece of paper in front of a house.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Home"", ""prominence_in_shot"": ""1""}]","""family""","""relaxed""","""home""","""writing""","""home""","""home""","""home"""
54,176.73333333333332,178.1,5302,5343,1.3666666666666742,"A woman is holding a piece of paper with tears in her eyes, looking at it with a sad expression.","[{""genre_hint"": ""drama"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""romance"", ""prominence_in_shot"": 1}]","""heartfelt""","""sad""","""interior""","""tears""","""interior""","""interior""","""tears"""
55,178.1,179.63333333333333,5343,5389,1.5333333333333314,A man is writing a letter on a piece of paper with a pen.,"[{""genre_hint"": ""Romance"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": ""100%""}]","""romantic""","""happy""","""home""","""writing a letter""","""home""","""home""","""writing a letter"""
56,179.63333333333333,189.3,5389,5679,9.666666666666686,"A woman is sitting at a table in a dimly lit room, reading a letter. She is deeply emotional and tears are streaming down her face.","[{""genre_hint"": ""drama"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""romance"", ""prominence_in_shot"": 1}]","""heartfelt""","""sadness""","""personal""","""emotional""","""home""","""private""","""love letter"""
57,189.3,191.6,5679,5748,2.299999999999983,,"[{""genre_hint"": ""drama"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""thriller"", ""prominence_in_shot"": 0.3}]","[{""adjective_hint"": ""intense"", ""prominence_in_shot"": 0.2}]","[{""mood_hint"": ""suspenseful"", ""prominence_in_shot"": 0.1}]","[{""setting_hint"": ""dark"", ""prominence_in_shot"": 0.4}]","[{""content_hint"": ""mysterious"", ""prominence_in_shot"": 0.3}]","[{""location_hint"": ""urban"", ""prominence_in_shot"": 0.2}]","[{""location_hint"": ""worldwide"", ""prominence_in_shot"": 0.1}]","[{""keyword"": ""mystery"", ""prominence_in_shot"": 0.4}]"
58,191.6,196.6,5748,5898,5.0,"A serene rural scene at dawn or dusk, featuring a quaint house with a porch and a tree to the left, under a warm, golden sky with the sun low on the horizon.","[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""Americana"", ""prominence_in_shot"": ""100%""}]","""homely""","""peaceful""","""countryside""","""sunrise/sunset""","""USA""","""USA""","""family, home, sunrise, sunset"""
59,196.6,201.6,5898,6048,5.0,"A young woman is sitting at a wooden table with her head resting on her arms, looking contemplative. She is wearing a dark top and has long brown hair. The room is warmly lit with sunlight streaming in through a window, and there is a wooden box on the table. The genre cues are 'drama', 'romance', and 'emotional', with a prominence of 0.5 in the shot. The subgenre cues are 'romantic drama' and 'emotional drama', with a prominence of 0.3. The mood is 'sad', 'melancholic', and 'reflective', with a prominence of 0.2. The setting context is 'home', 'family', and 'personal', with a prominence of 0.1. The content descriptors are 'loneliness', 'isolation', and 'heartbreak', with a prominence of 0.1. The location hints are 'home', 'family', and 'personal', with a prominence of 0.1. The search keywords are 'heartbreak', 'loneliness', and 'sadness', with a prominence of 0.1.",[],[],[],[],[],[],[],[],[]
60,201.6,203.6,6048,6108,2.0,A serene morning scene in a park with a winding path leading through the trees.,"[{""genre_hint"": ""Nature"", ""prominence_in_shot"": ""High""}]","[{""subgenre_hint"": ""Forest"", ""prominence_in_shot"": ""High""}]","""Peaceful""","""Serene""","""Morning""","""Sunrise""","""Local park""","""Worldwide park""","""Morning sunrise, park, path, trees, sun"""
61,203.6,207.7,6108,6231,4.099999999999994,"A young woman with long dark hair is sitting at a wooden table in front of a window. The window has a view of a sunset with the sun setting behind a cityscape. The woman appears to be in a contemplative mood, with her eyes closed and her head slightly bowed. The lighting in the room is warm and soft, with the sunlight streaming in through the window.","[{""genre_hint"": ""drama"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""romance"", ""prominence_in_shot"": ""high""}]","""melancholic""","""reflective""","""indoors""","""personal""","""urban""","""global""","""sunset, cityscape, contemplation, reflection"""
62,207.7,210.7,6231,6321,3.0,,[],[],[],[],[],[],[],[],[]
63,210.7,215.5,6321,6465,4.800000000000011,"A young woman standing on a porch at sunset, holding a piece of paper.","[{""genre_hint"": ""Family"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": 0.5}]","""family""","""sadness""","""family""","""family""","""family""","""family""","""family"""
64,215.5,217.5,6465,6525,2.0,A serene morning scene in a park with a winding path leading through the trees.,"[{""genre_hint"": ""Nature"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Forest"", ""prominence_in_shot"": ""1""}]","""Peaceful""","""Serene""","""Morning""","""Sunrise, trees, path, grass, fog""","""Local park""","""International park""","""sunrise, park, path, grass, fog"""
65,217.5,220.46666666666667,6525,6614,2.9666666666666686,"A young woman standing on a porch at sunset, holding a piece of paper.","[{""genre_hint"": ""Romance"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": 0.2}]","""melancholic""","""sad""","""home""","""personal letter""","""home""","""home""","""love letter"""
66,220.46666666666667,222.6,6614,6678,2.1333333333333258,"A serene park scene at sunrise, with a wooden bench positioned on a winding path.","[{""genre_hint"": ""Nature"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Fantasy"", ""prominence_in_shot"": ""0.5""}]","""Peaceful""","""Serene""","""Morning""","""Sunrise, park, bench, path, trees, fog""","""England""","""England""","""sunrise, park, bench, path, trees, fog"""
67,222.6,226.36666666666667,6678,6791,3.76666666666668,A woman in a black dress walking on a park path at sunset.,"[{""genre_hint"": ""Romance"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Romantic"", ""prominence_in_shot"": 0.5}]","""Romantic""","""Serene""","""Park at sunset""","""A woman walking alone in a park at sunset""","""Park""","""Park""","""Romantic, park, sunset"""
68,226.36666666666667,228.5,6791,6855,2.1333333333333258,A serene morning scene in a residential neighborhood.,"[{""genre_hint"": ""Fantasy"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Romance"", ""prominence_in_shot"": 0.3}]","""sunlit""","""peaceful""","""early morning""","""morning walk""","""USA""","""USA""","""morning walk"""
